NUMBER,NAME,LOCATION,STATUS,LATX,LONGX,ELEV,TYPE,YEAR,PLACE
1200-01-,Osore-yama,Japan,Historical,41.27583333,141.1236111,879,Stratovolcano,1787,Honshu-Japan
1200-02-,Osorno,Chile,Historical,-41.1,-72.49305556,2652,Stratovolcano,1869,Chile-S
1200-03-,Ostanets,Russia,Holocene,52.14583333,157.3216667,719,Shield volcano,unknown,Kamchatka
1200-031,Ostry,Russia,Holocene,58.18333333,160.8166667,2552,Stratovolcano,-2050,Kamchatka
1200-04-,Otdelniy,Russia,Holocene,52.22,157.4283333,791,Shield volcano,unknown,Kamchatka
1200-05-,Overo  Cerro,Chile,Holocene,-23.51666667,-67.66666667,4555,Maar,unknown,Chile-N
1200-06-,Ozernoy,Russia,Holocene,51.88333333,157.3833333,562,Shield volcano,unknown,Kamchatka
1200-07-,Pacaya,Guatemala,Historical,14.38083333,-90.60111111,2552,Complex volcano,2010,Guatemala
1200-08-,Paco,Philippines,Anthropology,9.593333333,125.52,524,Stratovolcano,unknown,Mindanao-Philippines
1200-09-,Pagan,Pacific Ocean,Historical,18.13333333,145.8,570,Stratovolcano,2010,Mariana is-C Pacific
1200-10-,Pago,Papua New Guinea,Historical,-5.583333333,150.5166667,742,Caldera,2007,New Britain-SW Pac
1200-11-,Paka,Africa,Ar/Ar,0.916666667,36.18333333,1697,Shield volcano,-7550,Africa-E
1200-12-,Palei-Aike Volcano Field,Chile,Anthropology,-52,-70,282,Cinder cone,-5550,Chile-S
1200-13-,Palena Volcano Group,Chile,Holocene,-43.78333333,-72.46666667,,Cinder cone,unknown,Chile-S
1200-14-,Palinuro,Italy,Radiocarbon,39.48333333,14.83333333,-70,Submarine volcano,-8040,Italy
1200-15-,Palomo,Chile,Holocene,-34.60777778,-70.295,4860,Stratovolcano,unknown,Chile-C
1200-16-,Paluweh,Indonesia,Historical,-8.316666667,121.7083333,875,Stratovolcano,1985,Lesser Sunda Islands
1200-17-,Pampa Luxsar,Bolivia,Holocene,-20.85,-68.2,5543,Volcano field,unknown,Bolivia
1200-18-,Panarea,Italy,Historical,38.63333333,15.06666667,421,Stratovolcano,unknown,Italy
1200-19-,Pantelleria,Italy,Historical,36.76666667,12.01666667,836,Shield volcano,1891,Italy
1200-20-,Pantoja  Cerro,Chile,Holocene,-40.76666667,-71.95,2024,Stratovolcano,unknown,Chile-C
1201-01=,Papandayan,Indonesia,Historical,-7.316666667,107.7333333,2665,Stratovolcano,2002,Java
1201-02-,Papayo,Mexico,Holocene,19.30833333,-98.7,3600,Lava dome,unknown,Mexico
1201-03-,Parinacota,Chile,Surface Exposure,-18.16666667,-69.15,6348,Stratovolcano,-290,Chile-N
1201-04-,Parker,Philippines,Historical,6.113333333,124.8916667,1824,Stratovolcano,1641,Mindanao-Philippines
1201-05-,Patoc,Philippines,Fumarolic,17.14666667,120.98,1865,Stratovolcano,unknown,Luzon-Philippines
1201-06-,Patuha,Indonesia,Holocene,-7.160277778,107.4,2434,Stratovolcano,unknown,Java
1201-07-,Paulet,Antarctica,Holocene,-63.58333333,-55.76666667,353,Cinder cone,unknown,Antarctica
1202-01-,Pavlof,Alaska,Historical,55.41666667,-161.8875,2519,Stratovolcano,2007,Alaska Peninsula
1202-02-,Pavlof Sister,Alaska,Holocene,55.45277778,-161.8430556,2142,Stratovolcano,unknown,Alaska Peninsula
1202-03-,Payun Matru,Argentina,Holocene,-36.41666667,-69.2,3680,Shield volcano,unknown,Argentina
1202-04-,Peinado,Argentina,Holocene,-26.61666667,-68.15,5740,Stratovolcano,unknown,Argentina
1202-06-,Pelee,British West Indies,Historical,14.81666667,-61.16666667,1397,Stratovolcano,1932,British West Indies
1202-07-,Penanggungan,Indonesia,Holocene,-7.616666667,112.6333333,1653,Stratovolcano,unknown,Java
1202-08-,Penguin island,Antarctica,Lichenometry,-62.1,-57.93333333,180,Stratovolcano,1905,Antarctica
1202-09-,Perbakti-Gagak,Indonesia,Historical,-6.75,106.7,1699,Stratovolcano,1939,Java
1202-10-,Petacas,Colombia,Holocene,1.566666667,-76.78333333,4054,Lava dome,unknown,Colombia
1202-11-,Peter i island,Antarctica,Holocene,-68.85,-90.58333333,1640,Shield volcano,unknown,Antarctica
1202-12-,Peuet Sague,Indonesia,Historical,4.914444444,96.32916667,2801,Complex volcano,2000,Sumatra
1202-13-,Pico,Portugal,Historical,38.46666667,-28.4,2351,Stratovolcano,1720,Azores
1202-14-,Picos Volcano System,Portugal,Historical,37.78333333,-25.66666667,350,Pyroclastic cone,1652,Azores
1202-15-,Piip,Russia,Tephrochronology,55.41666667,167.3333333,-300,Submarine volcano,-5050,Kamchatka-E of
1202-16-,Pilas  Las,Nicaragua,Historical,12.49472222,-86.68833333,1088,Complex volcano,1954,Nicaragua
1202-17-,Pinacate,Mexico,Holocene,31.7725,-113.4983333,1200,Cinder cone,unknown,Mexico
1202-19-,Pinatubo,Philippines,Historical,15.13333333,120.35,1486,Stratovolcano,1993,Luzon-Philippines
1203-01-,Pinta,Galapagos,Historical,0.583333333,-90.75,780,Shield volcano,1928,Galapagos
1203-02-,Piratkovsky,Russia,Holocene,52.1125,157.8486111,1322,Stratovolcano,unknown,Kamchatka
1203-03-,Planchon-Peteroa,Chile,Historical,-35.24,-70.57,4107,Stratovolcano,2011,Chile-C
1203-04-,Plat Pays  Morne,British West Indies,Radiocarbon,15.255,-61.34083333,940,Stratovolcano,1270,British West Indies
1203-05-,Platanar,Costa Rica,Holocene,10.3,-84.36583333,2267,Stratovolcano,unknown,Costa Rica
1203-06-,Pleiades  The,Antarctica,Potassium-Argon,-72.66666667,165.5,3040,Stratovolcano,-1050,Antarctica
1203-08-,Plosky,Russia,Holocene,55.2,158.4666667,1236,Shield volcano,unknown,Kamchatka
1203-09-,Plosky,Russia,Holocene,57.83333333,160.25,1255,Shield volcano,unknown,Kamchatka
1203-10-,Poas,Costa Rica,Historical,10.2,-84.23277778,2708,Stratovolcano,2011,Costa Rica
1203-11-,Pocdol Mountains,Philippines,Fumarolic,13.05,123.9583333,1102,Compound volcano,unknown,Luzon-Philippines
1203-12-,Poco Leok,Indonesia,Fumarolic,-8.683333333,120.4833333,1675,Stratovolcano,unknown,Lesser Sunda Islands
1203-13-,Pogranychny,Russia,Holocene,56.85,159.8,1427,Shield volcano,unknown,Kamchatka
1203-15-,Popa,Myanmar,Anthropology,20.91666667,95.25,1518,Stratovolcano,-442,Myanmar
1203-16-,Popocatepetl,Mexico,Historical,19.02333333,-98.62222222,5426,Stratovolcano,unknown,Mexico
1203-17-,Porak,Armenia,Anthropology,40.01666667,45.78333333,2800,Stratovolcano,-778,Armenia
1203-18-,Possession  ile de la,Indian Ocean,Holocene,-46.41666667,51.75,934,Stratovolcano,unknown,Indian O.-S
1203-19-,Prestahnukur,Iceland,Radiocarbon,64.6,-20.58333333,1400,Subglacial volcano,-3350,Iceland-SW
1203-20-,Prevo Peak,Russia,Historical,47.01666667,152.1166667,1360,Stratovolcano,1825,Kuril is
1204-01-,Prieto  Cerro,Mexico,Holocene,32.41833333,-115.305,223,Lava dome,unknown,Mexico
1204-02-,Prince Edward island,Indian Ocean,Holocene,-46.63333333,37.95,672,Shield volcano,unknown,Indian O.
1204-03-,Protector Shoal,Antarctica,Historical,-55.91666667,-28.08333333,-27,Submarine volcano,1962,Antarctica
1204-04-,Puesto Cortaderas,Argentina,Holocene,-37.56666667,-69.61666667,970,Pyroclastic cone,unknown,Argentina
1205-01-,Pular,Chile,Holocene,-24.1875,-68.05416667,6233,Stratovolcano,unknown,Chile-N
1206-01-,Pulosari,Indonesia,Holocene,-6.341666667,105.975,1346,Stratovolcano,unknown,Java
1207-01-,Pululagua,Ecuador,Radiocarbon,0.038333333,-78.46333333,3356,Caldera,-290,Ecuador
1207-03-,Puntiagudo-Cordon Cenizos,Chile,Historical,-40.96944444,-72.26388889,2493,Stratovolcano,1850,Chile-C
1207-04-,Purace,Colombia,Historical,2.316666667,-76.4,4650,Stratovolcano,1977,Colombia
1207-05-,Purico Complex,Chile,Holocene,-23,-67.75,5703,Pyroclastic shield,unknown,Chile-N
1208-01-,Putana,Chile,Historical,-22.55,-67.85,5890,Stratovolcano,1810,Chile-N
1209-01-,Puyehue-Cordon Caulle,Chile,Historical,-40.59027778,-72.11722222,2236,Stratovolcano,2011,Chile-C
1209-02-,Puyuhuapi,Chile,Holocene,-44.3,-72.53333333,524,Cinder cone,unknown,Chile-S
1210-01-,Qal'eh Hasan Ali,Iran,Holocene,29.4,57.56666667,,Maar,unknown,Iran
1210-02-,Qualibou,British West Indies,Historical,13.83333333,-61.05,777,Caldera,1766,British West Indies
1301-01-,Quetrupillan,Chile,Historical,-39.5,-71.7,2360,Stratovolcano,1872,Chile-C
1301-011,Quezaltepeque,Guatemala,Holocene,14.56666667,-89.45,1200,Volcano field,unknown,Guatemala
1301-02-,Quill  The,British West Indies,Radiocarbon,17.47777778,-62.95972222,601,Stratovolcano,-250,British West Indies
1301-021,Quilotoa,Ecuador,Radiocarbon,-0.85,-78.9,3914,Caldera,1280,Ecuador
1301-03-,Quimsachata,Peru,Radiocarbon,-14.2,-71.33333333,3923,Lava dome,-4450,Peru
1301-031,Rabaul,Papua New Guinea,Historical,-4.270833333,152.2027778,688,Pyroclastic shield,2011,New Britain-SW Pac
1301-04-,Ragang,Philippines,Historical,7.7,124.5,2815,Stratovolcano,1873,Mindanao-Philippines
1302-00-,Rahah  Harrat ar,Arabia,Anthropology,27.8,36.16666667,1950,Volcano field,unknown,Arabia-W
1302-01-,Rahat  Harrat,Arabia,Historical,23.08333333,39.78333333,1744,Volcano field,1256,Arabia-W
1302-02=,Raikoke,Russia,Historical,48.29166667,153.25,551,Stratovolcano,1924,Kuril is
1302-03-,Rainier,United States,Historical,46.85277778,-121.7602778,4392,Stratovolcano,1894,US-Washington
1302-04-,Rajabasa,Indonesia,Fumarolic,-5.783333333,105.625,1281,Stratovolcano,unknown,Sumatra
1302-06-,Ranakah,Indonesia,Historical,-8.616666667,120.5166667,2350,Lava dome,1991,Lesser Sunda Islands
1303-01-,Ranau,Indonesia,Holocene,-4.833333333,103.9166667,1881,Caldera,unknown,Sumatra
1303-02-,Raoul island,New Zealand,Historical,-29.26666667,-177.9166667,516,Stratovolcano,2006,Kermadec is
1303-03-,Rasshua,Russia,Historical,47.76666667,153.0166667,956,Stratovolcano,1957,Kuril is
1303-04-,Raung,Indonesia,Historical,-8.125,114.0416667,3332,Stratovolcano,2008,Java
1303-05-,Rausu,Japan,Radiocarbon,44.07333333,145.1263889,1660,Stratovolcano,1800,Hokkaido-Japan
1303-06-,Recheschnoi,Aleutian Islands,Holocene,53.15666667,-168.5388889,1984,Stratovolcano,unknown,Aleutian is
1304-02-,Reclus,Chile,Historical,-50.96388889,-73.58472222,1000,Cinder cone,1908,Chile-S
1304-021,Redoubt,Alaska,Historical,60.48527778,-152.7419444,3108,Stratovolcano,2009,Alaska-SW
1304-07-,Reporoa,New Zealand,Tephrochronology,-38.41666667,176.3333333,592,Caldera,1180,New Zealand
1304-12-,Resago,Chile,Holocene,-36.45,-70.91666667,1890,Cinder cone,unknown,Chile-C
1304-13-,Reventador,Ecuador,Historical,-0.0775,-77.65583333,3562,Stratovolcano,2011,Ecuador
1304-14-,Reykjanes,Iceland,Historical,63.88333333,-22.5,230,Crater rows,1926,Iceland-SW
1305-01-,Rincon de la Vieja,Costa Rica,Historical,10.83,-85.32388889,1916,Complex volcano,1998,Costa Rica
1401-00-,Rinjani,Indonesia,Historical,-8.416666667,116.4666667,3726,Stratovolcano,2010,Lesser Sunda Islands
1401-001,Rio Murta,Chile,Holocene,-46.16666667,-72.66666667,,Pyroclastic cone,unknown,Chile-S
1401-002,Risco Plateado,Argentina,Holocene,-34.93333333,-70,4999,Stratovolcano,unknown,Argentina
1401-003,Rishiri,Japan,Radiocarbon,45.18333333,141.25,1721,Stratovolcano,-5830,Hokkaido-Japan
1401-004,Ritter island,Papua New Guinea,Historical,-5.516666667,148.1208333,140,Stratovolcano,2007,New Guinea-NE of
1401-005,Robinson Crusoe,Chile,Historical,-33.65833333,-78.85,922,Shield volcano,1835,Chile-is
1401-006,Robledo,Argentina,Holocene,-26.76666667,-67.71666667,4400,Caldera,unknown,Argentina
1401-007,Rocard,Pacific Ocean,Seismicity,-17.64166667,-148.6,-2100,Submarine volcano,1972,Society is-C Pacific
1401-011,Romanovka,Russia,Holocene,55.65,158.8,1442,Stratovolcano,unknown,Kamchatka
1401-012,Romeral,Colombia,Radiocarbon,5.205833333,-75.36416667,3858,Stratovolcano,-5950,Colombia
1401-01=,Rota,Nicaragua,Holocene,12.55,-86.75,832,Stratovolcano,unknown,Nicaragua
