NUMBER,NAME,LOCATION,STATUS,LATX,LONGX,ELEV,TYPE,YEAR,PLACE
1403-14-,Segula,Aleutian Islands,Holocene,52.01527778,178.1355556,1160,Stratovolcano,unknown,Aleutian is
1403-15-,Sekincau Belirang,Indonesia,Fumarolic,-5.116666667,104.3166667,1719,Caldera,unknown,Sumatra
1403-16-,Semeru,Indonesia,Historical,-8.108333333,112.9166667,3676,Stratovolcano,2011,Java
1404-01=,Semisopochnoi,Aleutian Islands,Historical,51.93333333,179.5833333,1221,Stratovolcano,1873,Aleutian is
1404-02=,Sempu,Indonesia,Fumarolic,1.133333333,124.7583333,1549,Caldera,unknown,Sulawesi-indonesia
1404-04=,Serdan-Oriental,Mexico,Holocene,19.26666667,-97.46666667,3485,Tuff cone,unknown,Mexico
1404-06-,Sergief,Aleutian Islands,Uncertain,52.05,-174.95,560,Stratovolcano,unknown,Aleutian is
1404-07=,Serua,Indonesia,Historical,-6.3,130,641,Stratovolcano,1921,Banda Sea
1404-08=,Sessagara,New Guinea,Holocene,-9.483333333,149.1333333,370,Pyroclastic cone,unknown,New Guinea
1404-091,Sete Cidades,Portugal,Historical,37.86666667,-25.78333333,856,Stratovolcano,1880,Azores
1404-092,Seulawah Agam,Indonesia,Historical,5.4475,95.65777778,1810,Stratovolcano,1839,Sumatra
1404-09=,Severny,Russia,Radiocarbon,58.28333333,160.8666667,1936,Shield volcano,-1550,Kamchatka
1404-101,Sharat Kovakab,Syria,Holocene,36.53333333,40.85,534,Volcano field,unknown,Syria
1404-10=,Shasta,United States,Historical,41.40888889,-122.1933333,4317,Stratovolcano,1786,US-California
1404-111,Shiga,Japan,Holocene,36.6875,138.5191667,2041,Shield volcano,unknown,Honshu-Japan
1404-11=,Shikaribetsu Group,Japan,Holocene,43.31222222,143.0955556,1401,Lava dome,unknown,Hokkaido-Japan
1404-12=,Shikotsu,Japan,Historical,42.68805556,141.3802778,1320,Caldera,1981,Hokkaido-Japan
1404-13-,Shiretoko-iwo-zan,Japan,Historical,44.13083333,145.1652778,1563,Stratovolcano,1936,Hokkaido-Japan
1404-131,Shirinki,Russia,Holocene,50.2,154.9833333,761,Stratovolcano,unknown,Kuril is
1404-132,Shishaldin,Aleutian Islands,Historical,54.75555556,-163.9666667,2857,Stratovolcano,2004,Aleutian is
1404-133,Shisheika,Russia,Radiocarbon,57.15,161.0833333,379,Lava dome,-2242,Kamchatka
1404-14-,Shishel,Russia,Holocene,57.45,160.3666667,2525,Shield volcano,unknown,Kamchatka
1405-01=,Shiveluch,Russia,Historical,56.65333333,161.36,3283,Stratovolcano,2011,Kamchatka
1405-02=,Shoshone Lava Field,United States,Holocene,43.18333333,-114.35,1478,Shield volcano,-8400,US-idaho
1405-031,Sibayak,Indonesia,Historical,3.233333333,98.51666667,2212,Stratovolcano,1881,Sumatra
1405-033,Sibualbuali,Indonesia,Holocene,1.555555556,99.25527778,1819,Stratovolcano,unknown,Sumatra
1405-034,Sikhote-Alin,Russia,Holocene,47,137.5,,Volcano field,unknown,Russia-SE
1405-03=,Silali,Africa,Ar/Ar,1.15,36.23333333,1528,Shield volcano,-5050,Africa-E
1405-04=,Silay,Philippines,Fumarolic,10.76666667,123.2333333,1510,Stratovolcano,unknown,Philippines-C
1405-05=,Silver Lake,United States,Holocene,40.73055556,-121.8408333,1535,Cinder cone,unknown,US-California
1405-06=,Silverthrone,Canada,Holocene,51.43333333,-126.3,3160,Caldera,unknown,Canada
1405-07=,Simbo,Pacific Ocean,Anthropology,-8.291666667,156.5166667,335,Stratovolcano,1910,Solomon is-SW Pacific
1406-01-,Sinabung,Indonesia,Holocene,3.166666667,98.39166667,2460,Stratovolcano,2010,Sumatra
1406-03-,Sinarka,Russia,Historical,48.875,154.175,934,Stratovolcano,1878,Kuril is
1501-011,Singu Plateau,Myanmar,Holocene,22.7,95.98333333,507,Fissure vent,unknown,Myanmar
1501-012,Singuil  Cerro,El Salvador,Holocene,14.05,-89.65,957,Cinder cone,unknown,El Salvador
1501-021,Siple,Antarctica,Holocene,-73.43333333,-126.6666667,3110,Shield volcano,unknown,Antarctica
1501-02=,Sirung,Indonesia,Historical,-8.508333333,124.1333333,862,Complex volcano,1970,Lesser Sunda Islands
1501-03=,Slamet,Indonesia,Historical,-7.241666667,109.2083333,3428,Stratovolcano,2009,Java
1501-04=,Smirnov,Russia,Holocene,44.41972222,146.1347222,1189,Stratovolcano,unknown,Kuril is
1501-05=,Smith Rock,Japan,Historical,31.43583333,140.0536111,136,Submarine volcano,1916,izu is-Japan
1501-061,Snaefellsjokull,Iceland,Radiocarbon,64.8,-23.78333333,1448,Stratovolcano,-200,Iceland-W
1501-062,Snegovoy,Russia,Holocene,58.2,160.9666667,2169,Shield volcano,unknown,Kamchatka
1501-06=,Snezhniy,Russia,Holocene,58.01666667,160.8,2169,Shield volcano,unknown,Kamchatka
1501-07=,Snowy Mountain,Alaska,Radiocarbon,58.33555556,-154.6819444,2162,Stratovolcano,1710,Alaska Peninsula
1501-08=,Soche,Ecuador,Radiocarbon,0.552222222,-77.57972222,3955,Stratovolcano,-6650,Ecuador
1501-09=,Socompa,Chile,Radiocarbon,-24.4,-68.25,6051,Stratovolcano,unknown,Chile-N
1501-10=,Socorro,Mexico,Historical,18.78333333,-110.95,1050,Shield volcano,1994,Mexico-is
1501-11=,Soda Lakes,United States,Holocene,39.53333333,-118.8666667,1251,Maar,unknown,US-Nevada
1502-001,Sodore,Ethiopia,Holocene,8.433333333,39.35,1765,Pyroclastic cone,unknown,Ethiopia
1502-002,Sofugan,Japan,Uncertain,29.78944444,140.3452778,99,Stratovolcano,unknown,izu is-Japan
1502-003,Sollipulli,Chile,Radiocarbon,-38.96666667,-71.51666667,2282,Caldera,1240,Chile-C
1502-004,Solo  El,Chile,Holocene,-27.10833333,-68.71666667,6190,Stratovolcano,unknown,Chile-N
1502-005,Soputan,Indonesia,Historical,1.108333333,124.7333333,1784,Stratovolcano,2011,Sulawesi-indonesia
1502-006,Sorikmarapi,Indonesia,Historical,0.685833333,99.53944444,2145,Stratovolcano,1986,Sumatra
1502-011,Sork Ale,Ethiopia,Holocene,13.18333333,41.725,1611,Stratovolcano,unknown,Ethiopia
1502-01=,Sotara,Colombia,Holocene,2.108333333,-76.59166667,4400,Stratovolcano,unknown,Colombia
1502-021,Soufriere Guadeloupe,British West Indies,Historical,16.05,-61.66666667,1467,Stratovolcano,1977,British West Indies
1502-022,Soufriere Hills,British West Indies,Historical,16.71666667,-62.18333333,915,Stratovolcano,1630,British West Indies
1502-02=,Soufriere St. Vincent,British West Indies,Historical,13.33333333,-61.18333333,1220,Stratovolcano,unknown,British West Indies
1502-03=,South island,Africa,Historical,2.633333333,36.6,800,Stratovolcano,1888,Africa-E
1502-041,South Sister,United States,Radiocarbon,44.10277778,-121.7683333,3157,Complex volcano,-50,US-Oregon
1502-04=,Southern EPR-Segment I,Pacific Ocean,Magnetism,-18.53333333,-113.4166667,-2600,Submarine volcano,1915,Pacific-E
1502-05=,Southern EPR-Segment J,Pacific Ocean,Magnetism,-18.175,-113.35,-2650,Submarine volcano,1890,Pacific-E
1502-06=,Southern EPR-Segment K,Pacific Ocean,Historical,-17.43611111,-113.2061111,-2566,Submarine volcano,1990,Pacific-E
1502-071,Spectrum Range,Canada,Holocene,57.43333333,-130.6833333,2430,Shield volcano,unknown,Canada
1502-081,Spokoiny,Russia,Radiocarbon,58.13333333,160.8166667,2171,Stratovolcano,-3450,Kamchatka
1502-08=,Spurr,Alaska,Historical,61.29944444,-152.2511111,3374,Stratovolcano,1992,Alaska-SW
1502-09=,Squaw Ridge Lava Field,United States,Holocene,43.47222222,-120.7536111,1711,Volcano field,unknown,US-Oregon
1503-011,Srednii,Russia,Holocene,47.6,152.9166667,36,Submarine volcano,unknown,Kuril is
1503-01=,St. Andrew Strait,Pacific Ocean,Historical,-2.383333333,147.35,270,Complex volcano,1957,Admiralty is-SW Pacific
1503-02=,St. Catherine,British West Indies,Holocene,12.15,-61.66666667,840,Stratovolcano,unknown,British West Indies
1503-03=,St. Helens,United States,Historical,46.2,-122.1833333,2549,Stratovolcano,2008,US-Washington
1503-04=,St. Michael,Alaska,Anthropology,63.45,-162.1166667,715,Shield volcano,unknown,Alaska-W
1503-05=,St. Paul,Indian Ocean,Historical,-38.71666667,77.53333333,268,Stratovolcano,1793,Indian O.-S
1503-06=,St. Paul island,Alaska,Radiocarbon,57.18333333,-170.3,203,Shield volcano,-1280,Alaska-W
1503-07=,Steller,Alaska,Holocene,58.43333333,-154.4,2272,Stratovolcano,unknown,Alaska Peninsula
1503-081,Stepovak Bay 2,Alaska,Holocene,55.9125,-160.0408333,1323,Cinder cone,unknown,Alaska Peninsula
1503-08=,Stepovak Bay 3,Alaska,Holocene,55.92916667,-160.0019444,1555,Cinder cone,unknown,Alaska Peninsula
1503-091,Stepovak Bay 4,Alaska,Pleistocene,55.95416667,-159.9541667,1557,Stratovolcano,unknown,Alaska Peninsula
1503-09=,Stromboli,Italy,Historical,38.78944444,15.21305556,924,Stratovolcano,2011,Italy
1503-12-,Sturge island,Antarctica,Uncertain,-67.4,164.8333333,1167,Stratovolcano,unknown,Antarctica
1504-00-,Suchitan,Guatemala,Holocene,14.4,-89.78333333,2042,Stratovolcano,unknown,Guatemala
1504-001,Suiyo Seamount,Japan,Fumarolic,28.6,140.6333333,-1418,Submarine volcano,unknown,izu is-Japan
1504-002,Sukaria Caldera,Indonesia,Fumarolic,-8.791666667,121.7666667,1500,Caldera,unknown,Lesser Sunda Islands
1504-003,Sulu Range,Papua New Guinea,Fumarolic,-5.5,150.9416667,610,Stratovolcano,unknown,New Britain-SW Pac
1504-004,Sumaco,Ecuador,Historical,-0.538055556,-77.62583333,3990,Stratovolcano,1895,Ecuador
1504-005,Sumbing,Indonesia,Historical,-2.414166667,101.7275,2507,Stratovolcano,1921,Sumatra
1504-006,Sumbing,Indonesia,Historical,-7.384166667,110.0702778,3371,Stratovolcano,1730,Java
1504-007,Sumiyoshi-ike,Japan,Radiocarbon,31.76833333,130.5941667,15,Maar,-6200,Kyushu-Japan
1504-008,Sundoro,Indonesia,Historical,-7.3,109.9916667,3136,Stratovolcano,1971,Java
1504-01=,Sunset Crater,United States,Dendrochronology,35.36666667,-111.5,2447,Cinder cone,1075,US-Arizona
1504-02=,Suoh,Indonesia,Historical,-5.25,104.2666667,1000,Caldera,1933,Sumatra
1504-031,Suphan Dagi,Turkey,Holocene,38.91666667,42.81666667,4158,Stratovolcano,-8050,Turkey
1504-03=,Supply Reef,Pacific Ocean,Hydrophonic,20.13333333,145.1,-8,Submarine volcano,1989,Mariana is-C Pacific
1504-04=,Suretamatai,Pacific Ocean,Historical,-13.8,167.4666667,921,Complex volcano,1966,Vanuatu-SW Pacific
1504-05-,Suswa,Africa,Holocene,-1.175,36.35,2356,Shield volcano,unknown,Africa-E
1504-06-,Suwanose-jima,Japan,Historical,29.63472222,129.7161111,799,Stratovolcano,2011,Ryukyu is
1505-011,SW Usangu Basin,Africa,Holocene,-8.75,33.8,2179,Lava dome,unknown,Africa-E
1505-012,Taal,Philippines,Historical,14.00166667,120.9933333,311,Caldera,1977,Luzon-Philippines
1505-01=,Taapaca,Chile,Radiocarbon,-18.1,-69.5,5860,Complex volcano,-320,Chile-N
1505-021,Taburete,El Salvador,Holocene,13.435,-88.53194444,1172,Stratovolcano,unknown,El Salvador
1505-02=,Tacana,Mexico,Historical,15.13,-92.1125,4060,Stratovolcano,1986,Mexico
1505-032,Tacora,Chile,Fumarolic,-17.71666667,-69.76666667,5980,Stratovolcano,unknown,Chile-N
1505-035,Tafahi,Pacific Ocean,Holocene,-15.85,-173.7166667,560,Stratovolcano,unknown,Tonga-SW Pacific
1505-036,Taftan,Iran,Holocene,28.6,61.13333333,3940,Stratovolcano,unknown,Iran
1505-03=,Tafu-Maka,Pacific Ocean,Historical,-15.36666667,-174.2333333,-1400,Submarine volcano,2008,Tonga-SW Pacific
1505-042,Tahalra Volcano Field,Africa,Holocene,22.66666667,5,1467,Pyroclastic cone,unknown,Africa-N
1505-04=,Tahual,Guatemala,Holocene,14.43333333,-89.9,1716,Stratovolcano,unknown,Guatemala
1505-05=,Tair  Jebel at,Red Sea,Historical,15.55,41.83333333,244,Stratovolcano,2008,Red Sea
1505-061,Tajumulco,Guatemala,Holocene,15.03444444,-91.90333333,4220,Stratovolcano,unknown,Guatemala
1505-06=,Takahara,Japan,Holocene,36.89694444,139.78,1795,Stratovolcano,-4570,Honshu-Japan
1505-07=,Takahe,Antarctica,ice Core,-76.28333333,-112.0833333,3460,Shield volcano,-5550,Antarctica
1505-091,Takawangha,Aleutian Islands,Radiocarbon,51.87277778,-178.0055556,1449,Stratovolcano,1550,Aleutian is
1505-092,Takuan Group,Pacific Ocean,Holocene,-6.441666667,155.6083333,2210,Compound volcano,unknown,Bougainville-SW Pacific
1505-093,Talagabodas,Indonesia,Fumarolic,-7.208333333,108.0666667,2201,Stratovolcano,unknown,Java
1505-094,Talakmau,Indonesia,Holocene,0.079166667,99.98333333,2919,Complex volcano,unknown,Sumatra
1505-095,Talang,Indonesia,Historical,-0.978333333,100.6794444,2597,Stratovolcano,2007,Sumatra
1505-096,Tambo Quemado,Bolivia,Holocene,-18.61666667,-68.75,4215,Pyroclastic shield,unknown,Bolivia
1505-097,Tambora,Indonesia,Historical,-8.25,118,2850,Stratovolcano,1967,Lesser Sunda Islands
1505-098,Tampomas,Indonesia,Holocene,-6.766666667,107.95,1684,Stratovolcano,unknown,Java
1505-09=,Tana,Aleutian Islands,Holocene,52.83333333,-169.7666667,1170,Stratovolcano,unknown,Aleutian is
1505-101,Tanaga,Aleutian Islands,Historical,51.885,-178.1458333,1806,Stratovolcano,1914,Aleutian is
1505-102,Tandikat,Indonesia,Historical,-0.432777778,100.3172222,2438,Stratovolcano,1924,Sumatra
1505-103,Tangaroa,New Zealand,Fumarolic,-36.32083333,178.0283333,600,Submarine volcano,unknown,New Zealand
1505-104,Tangkubanparahu,Indonesia,Historical,-6.766666667,107.6,2084,Stratovolcano,1983,Java
1505-105,Tao-Rusyr Caldera,Russia,Historical,49.35,154.7,1325,Stratovolcano,1952,Kuril is
1505-106,Tara  Batu,Indonesia,Historical,-7.791666667,123.5791667,748,Stratovolcano,2010,Lesser Sunda Islands
1505-107,Tarakan,Indonesia,Holocene,1.833333333,127.8333333,318,Pyroclastic cone,unknown,Halmahera-indonesia
1505-108,Taranaki [Egmont],New Zealand,Historical,-39.3,174.0666667,2518,Stratovolcano,1854,New Zealand
1505-109,Taryatu-Chulutu,Mongolia,Radiocarbon,48.16666667,99.7,2400,Volcano field,-2980,Mongolia
1505-10=,Tat Ali,Ethiopia,Holocene,13.28333333,41.06666667,700,Shield volcano,unknown,Ethiopia
1505-112,Tata Sabaya,Bolivia,Holocene,-19.13333333,-68.53333333,5430,Stratovolcano,unknown,Bolivia
1505-11=,Tate-yama,Japan,Historical,36.56805556,137.5927778,2621,Stratovolcano,1839,Honshu-Japan
1505-121,Tatun Group,Taiwan,Radiocarbon,25.16666667,121.5166667,1120,Lava dome,-4100,Taiwan
1505-122,Ta'u,Pacific Ocean,Holocene,-14.23333333,-169.4541667,931,Shield volcano,unknown,Samoa-SW Pacific
1505-123,Taunshits,Russia,Radiocarbon,54.53333333,159.8,2353,Stratovolcano,-550,Kamchatka
1505-124,Taupo,New Zealand,Radiocarbon,-38.81666667,176,760,Caldera,-260,New Zealand
1505-125,Taveuni,Pacific Ocean,Radiocarbon,-16.81666667,-179.9666667,1241,Shield volcano,1550,Fiji is-SW Pacific
1505-12=,Tavui,Papua New Guinea,Radiocarbon,-4.116666667,152.2,200,Caldera,-5150,New Britain-SW Pac
1505-131,Teahitia,Pacific Ocean,Seismicity,-17.56666667,-148.85,-1400,Submarine volcano,1985,Society is-C Pacific
1505-13=,Tecapa,El Salvador,Holocene,13.49388889,-88.50222222,1593,Stratovolcano,unknown,El Salvador
1505-14-,Tecuamburro,Guatemala,Radiocarbon,14.15611111,-90.40694444,1845,Stratovolcano,-960,Guatemala
1505-15-,Telica,Nicaragua,Historical,12.6025,-86.845,1061,Stratovolcano,2011,Nicaragua
1505-16-,Telomoyo,Indonesia,Holocene,-7.366666667,110.4,1894,Stratovolcano,unknown,Java
1505-18-,Telong  Bur ni,Indonesia,Historical,4.768888889,96.82111111,2617,Stratovolcano,1937,Sumatra
1505-19-,Tendurek Dagi,Turkey,Historical,39.36666667,43.86666667,3584,Shield volcano,1855,Turkey
1505-20-,Tenerife,Canary Islands,Historical,28.27138889,-16.64083333,3715,Stratovolcano,1909,Canary is
1505-21-,Tengchong,China,Uranium-series,25.23333333,98.5,2865,Pyroclastic cone,-5750,China
1505-22-,Tengger Caldera,Indonesia,Historical,-7.941666667,112.95,2329,Stratovolcano,2011,Java
1506-011,Tenorio,Costa Rica,Holocene,10.67277778,-85.015,1916,Stratovolcano,unknown,Costa Rica
1506-01=,Teon,Indonesia,Historical,-6.916666667,129.125,655,Stratovolcano,1904,Banda Sea
1506-02=,Tepi,Ethiopia,Holocene,7.416666667,35.43333333,2728,Shield volcano,unknown,Ethiopia
1507-01=,Terceira,Portugal,Historical,38.73333333,-27.31666667,1023,Stratovolcano,2000,Azores
1507-021,Terpuk,Russia,Radiocarbon,57.2,159.8333333,765,Shield volcano,-800,Kamchatka
1507-022,Theistareykjarbunga,Iceland,Tephrochronology,65.88333333,-16.83333333,564,Shield volcano,-900,Iceland-NE
1507-023,Thompson island,Atlantic Ocean,Uncertain,-53.93333333,5.5,,Submarine volcano,unknown,Atlantic-S
1507-024,Thule islands,Antarctica,Historical,-59.45,-27.36666667,1075,Stratovolcano,1975,Antarctica
1507-02=,Tianshan Volcano Group,China,Historical,42.5,82.5,,Volcano field,unknown,China-W
1507-03=,Tiatia,Russia,Historical,44.35083333,146.2563889,1819,Stratovolcano,1981,Kuril is
1507-041,Ticsani,Peru,Tephrochronology,-16.755,-70.595,5408,Lava dome,1800,Peru
1507-042,Tidore,Indonesia,Holocene,0.658333333,127.4,1730,Stratovolcano,unknown,Halmahera-indonesia
1507-04=,Tigalalu,Indonesia,Holocene,0.066666667,127.4166667,422,Stratovolcano,unknown,Halmahera-indonesia
1507-05=,Tigre  El,El Salvador,Holocene,13.46666667,-88.43333333,1640,Stratovolcano,unknown,El Salvador
1507-061,Tigre  isla el,Honduras,Holocene,13.27222222,-87.64055556,783,Stratovolcano,unknown,Honduras
1507-062,Tilocalar,Chile,Holocene,-23.96666667,-68.13333333,3116,Stratovolcano,unknown,Chile-N
1507-063,Tin Zaouatene Volcano Field,Africa,Holocene,19.83333333,2.833333333,,Volcano field,unknown,Africa-N
1507-064,Tinakula,Pacific Ocean,Historical,-10.38333333,165.8,851,Stratovolcano,2011,Santa Cruz is-SW Pacific
1507-065,Tindfjallajokull,Iceland,Holocene,63.78333333,-19.56666667,1463,Stratovolcano,unknown,Iceland-S
1507-066,Tinguiririca,Chile,Historical,-34.81361111,-70.35194444,4280,Stratovolcano,1917,Chile-C
1507-067,Tipas,Argentina,Holocene,-27.2,-68.55,6660,Complex volcano,unknown,Argentina
1507-06=,Titila,Russia,Radiocarbon,57.4,160.1,1559,Shield volcano,-550,Kamchatka
1507-071,Tjornes Fracture Zone,Iceland,Historical,66.3,-17.1,,Submarine volcano,1868,Iceland-N
1507-072,Tlevak Strait-Suemez is.,Alaska,Holocene,55.25,-133.3,50,Volcano field,unknown,Alaska-E
1507-073,Toba,Indonesia,Holocene,2.583333333,98.83333333,2157,Caldera,unknown,Sumatra
1507-07=,Todoko-Ranu,Indonesia,Holocene,1.25,127.4666667,979,Caldera,unknown,Halmahera-indonesia
1507-081,Todra Volcano Field,Africa,Holocene,17.68333333,8.5,1780,Cinder cone,unknown,Africa-N
1507-08=,Tofua,Pacific Ocean,Historical,-19.75,-175.0666667,515,Caldera,2011,Tonga-SW Pacific
1507-091,Toh  Tarso,Africa,Holocene,21.33333333,16.33333333,2000,Volcano field,unknown,Africa-N
1507-092,Tokachi,Japan,Historical,43.41555556,142.6902778,2077,Stratovolcano,2004,Hokkaido-Japan
1507-093,Tolbachik,Russia,Historical,55.83,160.33,3682,Shield volcano,1976,Kamchatka
1507-09=,Tolguaca,Chile,Holocene,-38.31,-71.645,2806,Stratovolcano,unknown,Chile-C
1507-101,Tolima  Nevado del,Colombia,Historical,4.666666667,-75.33333333,5200,Stratovolcano,unknown,Colombia
1507-10=,Toliman,Guatemala,Holocene,14.6125,-91.18916667,3158,Stratovolcano,unknown,Guatemala
1507-111,Tolmachev Dol,Russia,Radiocarbon,52.63333333,157.5833333,1021,Cinder cone,-300,Kamchatka
1507-112,Toluca  Nevado de,Mexico,Radiocarbon,19.10833333,-99.75833333,4680,Stratovolcano,-1350,Mexico
1507-11=,Tombel Graben,Africa,Holocene,4.75,9.666666667,500,Cinder cone,unknown,Africa-W
1507-121,Tondano Caldera,Indonesia,Fumarolic,1.233333333,124.8333333,1202,Caldera,unknown,Sulawesi-indonesia
1507-122,Toney Mountain,Antarctica,Holocene,-75.8,-115.8333333,3595,Shield volcano,unknown,Antarctica
1507-123,Tongariro,New Zealand,Historical,-39.13333333,175.6416667,1978,Stratovolcano,1977,New Zealand
1507-12=,Tongkoko,Indonesia,Historical,1.516666667,125.2,1149,Stratovolcano,1880,Sulawesi-indonesia
1507-13=,Tore,Pacific Ocean,Holocene,-5.833333333,154.9333333,2200,Lava cone,unknown,Bougainville-SW Pacific
1507-14=,Torfajokull,Iceland,Historical,63.91666667,-19.16666667,1259,Stratovolcano,1477,Iceland-S
1507-152,Tori-shima,Japan,Historical,30.48,140.3061111,394,Stratovolcano,2002,izu is-Japan
1507-153,Toroeng Prong,Vietnam,Holocene,14.93333333,108,800,Cinder cone,unknown,Vietnam
1507-15=,Tortuga  isla,Mexico,Holocene,27.43333333,-111.8833333,210,Shield volcano,unknown,Mexico
1507-16-,Tosa Sucha,Ethiopia,Holocene,5.933333333,37.56666667,1650,Cinder cone,unknown,Ethiopia
1508-011,To-shima,Japan,Tephrochronology,34.51694444,139.2825,508,Stratovolcano,-4550,izu is-Japan
1508-012,Tousside  Tarso,Africa,Holocene,21.03333333,16.45,3265,Stratovolcano,unknown,Africa-N
1508-01=,Towada,Japan,Historical,40.46666667,140.9166667,1159,Caldera,-915,Honshu-Japan
1508-021,Traitor's Head,Pacific Ocean,Historical,-18.75,169.2333333,837,Stratovolcano,1881,Vanuatu-SW Pacific
1508-022,Tralihue,Argentina,Holocene,-38.51666667,-70.9,,Stratovolcano,unknown,Argentina
1508-023,Tres Virgenes,Mexico,Holocene,27.46972222,-112.5911111,1940,Stratovolcano,unknown,Mexico
1508-024,Tri Sestry,Russia,Holocene,45.93333333,149.9166667,998,Stratovolcano,unknown,Kuril is
1508-025,Trident,Alaska,Historical,58.23555556,-155.1,1864,Stratovolcano,1974,Alaska Peninsula
1508-02=,Trindade,Atlantic Ocean,Holocene,-20.51444444,-29.33055556,600,Stratovolcano,unknown,Atlantic-C
1508-03=,Tristan da Cunha,Atlantic Ocean,Historical,-37.09166667,-12.28333333,2060,Shield volcano,1962,Atlantic-S
1508-041,Trocon,Argentina,Holocene,-37.73333333,-70.9,2500,Lava dome,unknown,Argentina
1508-04=,Trois Pitons  Morne,British West Indies,Radiocarbon,15.36666667,-61.33333333,1387,Complex volcano,-920,British West Indies
1508-050,Tromen,Argentina,Historical,-37.14166667,-70.03333333,3978,Stratovolcano,1822,Argentina
1508-051,Tronador,Chile,Holocene,-41.15694444,-71.88472222,3491,Stratovolcano,unknown,Chile-S
1508-052,Tseax River Cone,Canada,Radiocarbon,55.11666667,-128.9,609,Pyroclastic cone,1690,Canada
1508-053,Tshibinda,Africa,Holocene,-2.316666667,28.75,1460,Cinder cone,unknown,Africa-C
1508-054,Tskhouk-Karckar,Armenia,Tephrochronology,39.73333333,46.01666667,3000,Pyroclastic cone,-3000,Armenia
1508-055,Tsurumi,Japan,Historical,33.28333333,131.4322222,1584,Lava dome,-867,Kyushu-Japan
1508-056,Tujle  Cerro,Chile,Holocene,-23.83333333,-67.95,3550,Maar,unknown,Chile-N
1508-057,Tullu Moje,Ethiopia,Anthropology,8.158333333,39.13333333,2349,Pumice cone,1900,Ethiopia
1508-058,Tumble Buttes,United States,Holocene,40.68333333,-121.55,2191,Cinder cone,unknown,US-California
1508-059,Tungnafellsjokull,Iceland,Holocene,64.73333333,-17.91666667,1535,Stratovolcano,unknown,Iceland-NE
1508-05=,Tungurahua,Ecuador,Historical,-1.466944444,-78.44166667,5023,Stratovolcano,2011,Ecuador
1508-061,Tunkin Depression,Russia,Holocene,51.5,102.5,1200,Volcano field,unknown,Russia-SE
1508-062,Tupungatito,Chile,Historical,-33.4,-69.8,6000,Stratovolcano,1987,Chile-C
1508-063,Turfan,China,Historical,42.9,89.25,,Cone,unknown,China-W
1508-06=,Turrialba,Costa Rica,Historical,10.025,-83.76694444,3340,Stratovolcano,2011,Costa Rica
1508-07=,Tutuila,Pacific Ocean,Holocene,-14.295,-170.7,653,Tuff cone,unknown,Samoa-SW Pacific
1508-08-,Tutupaca,Peru,Holocene,-17.02527778,-70.35833333,5815,Stratovolcano,unknown,Peru
1508-09-,Tuya Volcano Field,Canada,Holocene,59.36666667,-130.5833333,2123,Volcano field,unknown,Canada
1600-01=,Tuzgle  Cerro,Argentina,Holocene,-24.05,-66.48333333,5500,Stratovolcano,unknown,Argentina
1600-02=,Tuzovsky,Russia,Holocene,57.31666667,159.9666667,1533,Shield volcano,unknown,Kamchatka
1600-03=,Twin Buttes,United States,Holocene,40.7775,-121.5905556,1631,Cinder cone,unknown,US-California
1600-04=,Ubehebe Craters,United States,Anthropology,37.01666667,-117.45,752,Maar,-4050,US-California
1600-05=,Ubinas,Peru,Historical,-16.355,-70.90305556,5672,Stratovolcano,2009,Peru
1600-06=,Udina,Russia,Holocene,55.755,160.5266667,2923,Stratovolcano,unknown,Kamchatka
1600-08=,Udokan Plateau,Russia,Radiocarbon,56.28333333,117.7666667,2180,Pyroclastic cone,-220,Russia-SE
1600-09=,Ugashik-Peulik,Alaska,Historical,57.75083333,-156.3680556,1474,Stratovolcano,1814,Alaska Peninsula
1600-101,Uinkaret Field,United States,Anthropology,36.38333333,-113.1333333,1555,Volcano field,1100,US-Arizona
1600-10=,Uka,Russia,Holocene,57.7,160.5833333,1643,Shield volcano,unknown,Kamchatka
1600-11=,Ukinrek Maars,Alaska,Historical,57.83166667,-156.5097222,91,Maar,1977,Alaska Peninsula
1600-12=,Uksichan,Russia,Holocene,56.08333333,158.3833333,1692,Shield volcano,unknown,Kamchatka
1600-14=,Ulawun,Papua New Guinea,Historical,-5.05,151.3333333,2334,Stratovolcano,2011,New Britain-SW Pac
1600-15=,Uliaga,Aleutian Islands,Holocene,53.065,-169.7666667,888,Stratovolcano,unknown,Aleutian is
1600-16=,Ulreung,Korea,Radiocarbon,37.5,130.8666667,984,Stratovolcano,-2990,Korea
1600-17=,Umboi,Papua New Guinea,Holocene,-5.588888889,147.875,1548,Complex volcano,unknown,New Guinea-NE of
1700-01=,Umm Arafieb  Jebel,Africa,Holocene,18.16666667,33.83333333,,Shield volcano,unknown,Africa-N
1700-02=,Ungaran,Indonesia,Holocene,-7.183333333,110.3333333,2050,Stratovolcano,unknown,Java
1700-03=,Unzen,Japan,Historical,32.75666667,130.2944444,1500,Complex volcano,1996,Kyushu-Japan
1701-02=,Upolu,Pacific Ocean,Holocene,-13.935,-171.7166667,1100,Shield volcano,unknown,Samoa-SW Pacific
1701-03=,Urataman,Russia,Holocene,47.11666667,152.25,678,Somma volcano,unknown,Kuril is
1701-04=,Ushishur,Russia,Historical,47.51666667,152.8,401,Caldera,1884,Kuril is
