GEOID10,ALAND10,AWATER10,INTPTLAT10,INTPTLON10,COUNT,Shape_Leng,Shape_Area
53033032213,4137355,286842,47.586805,-121.9887226,4376,0.108928004,0.000529015
53033032214,6683464,44579,47.6028805,-122.0215,6264,0.115159941,0.000804739
53033022300,5180190,3747695,47.7138649,-122.248746,2681,0.153261849,0.001070119
53033022400,4644860,3758058,47.6859329,-122.2113268,7935,0.158231094,0.001006659
53033022901,1484063,0,47.6366077,-122.1183943,2924,0.066346276,0.000177622
53033022606,2757465,27137,47.6689188,-122.1547915,5430,0.075622312,0.000333481
53033022702,2450337,0,47.6568197,-122.1942746,3729,0.07127832,0.000293384
53033023000,3286160,2508903,47.620581,-122.1031787,5190,0.151776865,0.00069339
53033030309,2194426,27034,47.3032998,-122.3374114,5730,0.080741122,0.000264212
53033030308,2154064,0,47.3083168,-122.3520249,6266,0.067442848,0.000256226
53033030306,3764962,542278,47.3130416,-122.3996447,5681,0.137429537,0.000512371
53033030305,3783120,1035821,47.3189756,-122.3888214,4906,0.121619742,0.000573359
53033008700,732388,0,47.6059236,-122.307791,3843,0.038048949,8.76059E-05
53033011800,2301120,2269206,47.5154414,-122.253208,7383,0.099450732,0.000545833
53033011700,3506091,0,47.5201716,-122.2828507,5538,0.097918525,0.00041871
53033011600,3109902,971211,47.5282704,-122.3897768,6413,0.11219782,0.000487462
53033011500,1538373,0,47.5301833,-122.375533,4191,0.063191927,0.000183753
53033011300,3157555,42220,47.527369,-122.3448435,5984,0.084893023,0.00038218
53033011200,2766126,227061,47.5285208,-122.3248817,3906,0.104831611,0.000357516
53033011102,1297471,1636998,47.5379284,-122.2633605,4419,0.099953683,0.000350572
53033032212,3372134,42596,47.57097,-122.0083907,7787,0.099416049,0.000408166
53033023100,2531810,2665265,47.6067132,-122.1114759,3792,0.141525642,0.000621635
53033023603,2028190,0,47.6173977,-122.1508058,5963,0.062565417,0.000242658
53033023300,3589676,248744,47.6003452,-122.1289619,6217,0.095276742,0.00045909
53033023401,3740203,0,47.5867489,-122.1467322,3546,0.104567903,0.000447229
53033023500,2273132,0,47.5913824,-122.1728599,3667,0.069053294,0.00027183
53033030304,7344801,14259,47.2732632,-122.331856,2987,0.149024288,0.000874846
53033030202,3272013,0,47.3243897,-122.3231288,6484,0.08423263,0.000389323
53033030201,2818919,52615,47.3206275,-122.3485442,5327,0.077965185,0.000341658
53033030100,5851590,1972452,47.3361138,-122.3469054,7323,0.164820651,0.000931143
53033030004,2038151,0,47.3501042,-122.3033872,8055,0.062473072,0.000242627
53033030003,4737504,846303,47.3588458,-122.3152313,5877,0.138001557,0.000664831
53033011101,1150364,0,47.539484,-122.2773724,4390,0.050240458,0.00013743
53033008600,711360,0,47.6071015,-122.3166893,5055,0.037191336,8.50923E-05
53033008500,474211,0,47.6051125,-122.3249464,4341,0.033364757,5.67231E-05
